microsoft-r\r-reference\mrsdeploy\putlocalobject.md,Succeeded,Successful
microsoft-r\operationalize\media\configure-authentication\security.png,Skipped,Skipped - No tranformation required
microsoft-r\python-reference\microsoftml\select-columns.md,Succeeded,Successful
microsoft-r\operationalize\media\how-to-consume-web-service-interact-in-r\returns91.png,Skipped,Skipped - No tranformation required
microsoft-r\r-reference\microsoftml\rxfasttrees.md,Succeeded,Successful
microsoft-r\install\r-server-install-hadoop-troubleshoot.md,Succeeded,Successful
microsoft-r\resources-servicing-support.md,Succeeded,Successful
microsoft-r\r\rpe\media\revorpe-users-guide\conditioning_plot.jpg,Skipped,Skipped - No tranformation required
microsoft-r\deployr\media\deployr-admin-managing-the-grid\03000021_576x285.png,Skipped,Skipped - No tranformation required
microsoft-r\r\how-to-revoscaler-decision-forest.md,Succeeded,Successful
microsoft-r\deployr\deployr-about.md,Succeeded,Successful
microsoft-r\python-reference\revoscalepy\RxRemoteComputeContext.md,Succeeded,Successful
microsoft-r\r-reference\revoscaler\airlinedemosmall.md,Succeeded,Successful
microsoft-r\python-reference\microsoftml\count-select.md,Succeeded,Successful
microsoft-r\deployr\media\deployr-data-scientist-getting-started\copyfile.png,Skipped,Skipped - No tranformation required
microsoft-r\deployr\deployr-admin-monitoring-events.md,Succeeded,Successful
microsoft-r\breadcrumb\toc.yml,Succeeded,Successful
microsoft-r\r-reference\microsoftml\loss.md,Succeeded,Successful
microsoft-r\r-reference\revoscaler\media\revoscaler\scaler-rconsole-obj.png,Skipped,Skipped - No tranformation required
microsoft-r\r\how-to-revoscaler-naive-bayes.md,Succeeded,Successful
microsoft-r\operationalize\configure-admin-cli-stop-start.md,Succeeded,Successful
microsoft-r\r-reference\microsoftml\oneclasssvm.md,Succeeded,Successful
microsoft-r\operationalize\configure-machine-learning-server-one-box-9-2.md,Succeeded,Successful
microsoft-r\r-reference\revoscaler\as.xtabs.md,Succeeded,Successful
microsoft-r\r-reference\revoscaler\rxserializemodel.md,Succeeded,Successful
microsoft-r\r\concept-what-is-data-transformations.md,Succeeded,Successful
microsoft-r\python-reference\revoscalepy\RxNativeFileSystem.md,Succeeded,Successful
microsoft-r\r-reference\mrsdeploy\mrsdeploy-package.md,Succeeded,Successful
microsoft-r\r-reference\microsoftml\getNetDefinition.md,Succeeded,Successful
microsoft-r\python-reference\azureml-model-management-sdk\operationalization.md,Succeeded,Successful
microsoft-r\deployr\media\deployr-admin-managing-r-boundaries\03000016.png,Skipped,Skipped - No tranformation required
microsoft-r\r\concept-what-is-xdf.md,Succeeded,Successful
microsoft-r\python-reference\revoscalepy\rx-exec-by.md,Succeeded,Successful
microsoft-r\r-reference\olapr\olapr.md,Succeeded,Successful
microsoft-r\r-reference\mrsdeploy\print.serviceDetails.md,Succeeded,Successful
microsoft-r\r-reference\microsoftml\rxfastlinear.md,Succeeded,Successful
microsoft-r\r\media\tutorial-revoscaler-data-import-transform\arrdelay_histogram_1.png,Skipped,Skipped - No tranformation required
microsoft-r\r-reference\microsoftml\featurizeimage.md,Succeeded,Successful
microsoft-r\r-reference\revoscaler\rxlinmod.md,Succeeded,Successful
microsoft-r\r-client\media\what-is-microsoft-r-client\Step3.png,Skipped,Skipped - No tranformation required
microsoft-r\r\media\how-to-revoscaler-linear-model\image8.jpeg,Skipped,Skipped - No tranformation required
microsoft-r\python-reference\microsoftml\drop-columns.md,Succeeded,Successful
microsoft-r\r-reference\mrsdeploy\remotecommandline.md,Succeeded,Successful
