FolderTest\20190418-080745\microsoft-r\r-reference\revoscaler\censusus5pct2000.md,1,Successful
FolderTest\20190418-080745\microsoft-r\r\how-to-revoscaler-data-source.md,1,Successful
FolderTest\20190418-080745\microsoft-r\python-reference\revoscalepy\RxHiveData.md,1,Successful
FolderTest\20190418-080745\microsoft-r\deployr\deployr-admin-r-package-management.md,1,Successful
FolderTest\20190418-080745\microsoft-r\r-reference\revoscaler\rxteradatasql.md,1,Successful
FolderTest\20190418-080745\microsoft-r\r-reference\revoscaler\rxnaivebayes.md,1,Successful
FolderTest\20190418-080745\microsoft-r\r-reference\revoscaler\rxgetsparklyrconnection.md,1,Successful
FolderTest\20190418-080745\microsoft-r\operationalize\configure-cors.md,1,Successful
FolderTest\20190418-080745\microsoft-r\python-reference\revoscalepy\rx-cancel-job.md,1,Successful
FolderTest\20190418-080745\microsoft-r\r-reference\revoutils\revo-home.md,1,Successful
FolderTest\20190418-080745\microsoft-r\install\r-server-install-uninstall-upgrade.md,1,Successful
FolderTest\20190418-080745\microsoft-r\r\how-to-revoscaler-logistic-regression.md,1,Successful
FolderTest\20190418-080745\microsoft-r\r-reference\mrsdeploy\difflocalremote.md,1,Successful
FolderTest\20190418-080745\microsoft-r\python-reference\microsoftml\rx-oneclass-svm.md,1,Successful
FolderTest\20190418-080745\microsoft-r\r-reference\revoscaler\rxstepcontrol.md,1,Successful
FolderTest\20190418-080745\microsoft-r\operationalize\concept-api.md,1,Successful
FolderTest\20190418-080745\microsoft-r\install\r-server-install-windows-vm-803-provisioning.md,1,Successful
FolderTest\20190418-080745\microsoft-r\r-reference\revoscaler\rxgetvarnames.md,1,Successful
FolderTest\20190418-080745\microsoft-r\python-reference\microsoftml\concat.md,1,Successful
FolderTest\20190418-080745\microsoft-r\install\r-server-install-hadoop-manual-package.md,1,Successful
FolderTest\20190418-080745\microsoft-r\r-reference\revoscaler\rxsasdata-class.md,1,Successful
FolderTest\20190418-080745\microsoft-r\python-reference\revoscalepy\rx-set-var-info.md,1,Successful
FolderTest\20190418-080745\microsoft-r\install\machine-learning-server-azure-vm-on-linux.md,1,Successful
FolderTest\20190418-080745\microsoft-r\resources-opting-out.md,1,Successful
FolderTest\20190418-080745\microsoft-r\r\concept-what-is-the-microsoftml-package.md,1,Successful
FolderTest\20190418-080745\microsoft-r\r-reference\revoscaler\rxgetjobresults.md,1,Successful
FolderTest\20190418-080745\microsoft-r\python-reference\revoscalepy\rx-hadoop-command.md,1,Successful
FolderTest\20190418-080745\microsoft-r\python-reference\revoscalepy\RxTextData.md,1,Successful
FolderTest\20190418-080745\microsoft-r\r-reference\microsoftml\microsoftml-package.md,1,Successful
FolderTest\20190418-080745\microsoft-r\python-reference\revoscalepy\rx-get-partitions.md,1,Successful
FolderTest\20190418-080745\microsoft-r\operationalize\configure-find-admin-configuration-file.md,1,Successful
FolderTest\20190418-080745\microsoft-r\install\r-server-vm-data-science.md,1,Successful
FolderTest\20190418-080745\microsoft-r\operationalize\configure-run-diagnostics.md,1,Successful
FolderTest\20190418-080745\microsoft-r\r\how-to-revoscaler-models.md,1,Successful
FolderTest\20190418-080745\microsoft-r\r\how-to-revoscaler-data-summaries.md,1,Successful
FolderTest\20190418-080745\microsoft-r\r\how-to-revoscaler-sql-server.md,1,Successful
FolderTest\20190418-080745\microsoft-r\python-reference\revoscalepy\index.md,1,Successful
FolderTest\20190418-080745\microsoft-r\r-reference\revoscaler\rxreadxdf.md,1,Successful
FolderTest\20190418-080745\microsoft-r\r-reference\revoscaler\rxcomputecontext.md,1,Successful
FolderTest\20190418-080745\microsoft-r\python-reference\azureml-model-management-sdk\service-definition.md,1,Successful
FolderTest\20190418-080745\microsoft-r\install\r-server-install-teradata-server.md,1,Successful
FolderTest\20190418-080745\microsoft-r\python-reference\revoscalepy\RxXdfData.md,1,Successful
FolderTest\20190418-080745\microsoft-r\python-reference\revoscalepy\rx-spark-connect.md,1,Successful
FolderTest\20190418-080745\microsoft-r\r-reference\revoscaler\rxspark-class.md,1,Successful
FolderTest\20190418-080745\microsoft-r\r-reference\olapr\explore.md,1,Successful
FolderTest\20190418-080745\microsoft-r\python-reference\revoscalepy\RxOdbcData.md,1,Successful
