microsoft-r\deployr\deployr-admin-diagnostics-troubleshooting.md,1,Successful
microsoft-r\r-client\install-uninstall.md,1,Successful
microsoft-r\install\r-server-install-teradata-805.md,1,Successful
microsoft-r\r-reference\revoscaler\rxrng.md,1,Successful
microsoft-r\r\how-to-revoscaler-sql-server.md,1,Successful
microsoft-r\python-reference\revoscalepy\rx-read-xdf.md,1,Successful
microsoft-r\r\media\tutorial-large-data-tips\image12.jpeg,2,Skipped - No tranformation required
microsoft-r\r-reference\revoscaler\rxfindfileinpath.md,1,Successful
microsoft-r\deployr\deployr-security.md,1,Successful
microsoft-r\deployr\deployr-admin-console-managing-r-scripts.md,1,Successful
ThirdPartyNotices,2,Skipped - No tranformation required
microsoft-r\install\r-server-install-linux-uninstall.md,1,Successful
microsoft-r\r\media\tutorial-revoscaler-data-import-transform\arrdelay_histogram_2.png,2,Skipped - No tranformation required
microsoft-r\install\machine-learning-server-on-data-science-vm.md,1,Successful
microsoft-r\python-reference\revoscalepy\rx-list-keys.md,1,Successful
microsoft-r\deployr\deployr-about.md,1,Successful
microsoft-r\r\media\how-to-revoscaler-linear-model\image8.jpeg,2,Skipped - No tranformation required
microsoft-r\r-reference\revoscaler\rxsetvarinfoxdf.md,1,Successful
microsoft-r\r-reference\revoutils\revoutils.md,1,Successful
microsoft-r\r\media\how-to-revoscaler-linear-model\image10.png,2,Skipped - No tranformation required
microsoft-r\deployr\media\deployr-admin-configure-ca-sso\009.jpg,2,Skipped - No tranformation required
microsoft-r\operationalize\media\configure-roles\p1.png,2,Skipped - No tranformation required
microsoft-r\r\how-to-choose-microsoftml-algorithms-cheatsheet.md,1,Successful
microsoft-r\r\media\how-to-revoscaler-generalized-linear-model\image18.png,2,Skipped - No tranformation required
microsoft-r\r-reference\mrsdeploy\print.serviceDetails.md,1,Successful
microsoft-r\operationalize\media\how-to-connect-log-in-with-mrsdeploy\mrsdeploy-connect-switch-context.png,2,Skipped - No tranformation required
microsoft-r\deployr\deployr-admin-configure-ca-sso.md,1,Successful
microsoft-r\python-reference\microsoftml\mutualinformation-select.md,1,Successful
microsoft-r\r-reference\mrsdeploy\print.snapshotDetails.md,1,Successful
microsoft-r\operationalize\python\media\quickstart-application-integration-with-swagger\3-mlserver-azure-resource.png,2,Skipped - No tranformation required
microsoft-r\operationalize\configure-manage-r-packages.md,1,Successful
microsoft-r\python-reference\revoscalepy\rx-get-info.md,1,Successful
microsoft-r\r\rpe\media\revorpe-users-guide\visual_debugger_debugging.jpg,2,Skipped - No tranformation required
microsoft-r\r-reference\revoscaler\rxsetinfo.md,1,Successful
microsoft-r\python-reference\microsoftml\rx-featurize.md,1,Successful
microsoft-r\r-reference\revoscaler\rxhistogram.md,1,Successful
microsoft-r\deployr\media\deployr-api-explorer-tool\deployr-api-explorer-tool-3.png,2,Skipped - No tranformation required
microsoft-r\r-reference\sqlrutils\executestoredprocedure.md,1,Successful
microsoft-r\operationalize\python\media\quickstart-application-integration-with-swagger\4-jupyter-notebook.png,2,Skipped - No tranformation required
microsoft-r\python-reference\revoscalepy\rx-btrees.md,1,Successful
microsoft-r\install\machine-learning-server-windows-commandline.md,1,Successful
microsoft-r\r-reference\mrsdeploy\deleteservice.md,1,Successful
microsoft-r\r-reference\revoscaler\rxbtrees.md,1,Successful
microsoft-r\r-reference\revoscaler\as.randomForest.md,1,Successful
microsoft-r\r-reference\revoscaler\rxrealtimescoring.md,1,Successful
microsoft-r\r-reference\revoscaler\rxremotefilepath.md,1,Successful
microsoft-r\r-reference\mrsdeploy\deletesnapshot.md,1,Successful
microsoft-r\deployr\media\deployr-admin-configure-ca-sso\014.jpg,2,Skipped - No tranformation required
microsoft-r\r\tutorial-large-data-tips.md,1,Successful
microsoft-r\install\machine-learning-server-cloudera-install.md,1,Successful
microsoft-r\r-reference\revoscaler\djiadaily.md,1,Successful
microsoft-r\r-reference\revoscaler\censusworkers.md,1,Successful
microsoft-r\r-reference\microsoftml\rxlogisticregression.md,1,Successful
microsoft-r\r-reference\revoscaler\rxlocalseq.md,1,Successful
microsoft-r\install\media\r-server-install-cloudera-deploy-activate\cloudera-manager-add-mrs-service.png,2,Skipped - No tranformation required
microsoft-r\deployr\media\deployr-admin-configure-ca-sso\010.jpg,2,Skipped - No tranformation required
microsoft-r\operationalize\media\configure-roles\admin-persona.png,2,Skipped - No tranformation required
image-sources\o16n-image-source-rserver-operationalization-configuration.pptx,2,Skipped - No tranformation required
microsoft-r\index.yml,1,Successful
microsoft-r\r\tutorial-rxexecby.md,1,Successful
microsoft-r\deployr\media\deployr-repository-manager-about\usingrepoman.png,2,Skipped - No tranformation required
microsoft-r\r\media\tutorial-revoscaler-data-model-analysis\dayofweek_plot.png,2,Skipped - No tranformation required
microsoft-r\r-reference\revoscaler\rxcreatecolinfo.md,1,Successful
microsoft-r\deployr\media\deployr-data-scientist-getting-started\upload.png,2,Skipped - No tranformation required
microsoft-r\r-reference\revoscaler\revoscaler-compared-to-base-r.md,1,Successful
microsoft-r\operationalize\media\configure-start-for-administrators\admin-ha.png,2,Skipped - No tranformation required
microsoft-r\r\media\tutorial-r-to-revoscaler\image17.png,2,Skipped - No tranformation required
microsoft-r\deployr\deployr-admin-manage-big-data.md,1,Successful
microsoft-r\r-reference\revoscaler\rxdforestutils.md,1,Successful
microsoft-r\python-reference\revoscalepy\rx-get-var-names.md,1,Successful
microsoft-r\r-client\media\what-is-microsoft-r-client\Step2.png,2,Skipped - No tranformation required
microsoft-r\r-reference\microsoftml\fasttrees.md,1,Successful
microsoft-r\r\rpe\media\revorpe-users-guide\options_dialog_5.jpg,2,Skipped - No tranformation required
microsoft-r\operationalize\configure-evaluate-capacity.md,1,Successful
microsoft-r\r-reference\revoscaler\rxfilesystem.md,1,Successful
microsoft-r\deployr\media\deployr-about\deployr-architecture.png,2,Skipped - No tranformation required
microsoft-r\operationalize\media\configure-authentication\portal-aad-acct.png,2,Skipped - No tranformation required
microsoft-r\python-reference\revoscalepy\rx-spark-cache-data.md,1,Successful
microsoft-r\python-reference\microsoftml\n-gram.md,1,Successful
microsoft-r\r-reference\microsoftml\selectfeatures.md,1,Successful
microsoft-r\media\what-is-operationalization\about-3.png,2,Skipped - No tranformation required
README.md,1,Successful
microsoft-r\r\rpe\media\revorpe-users-guide\options_dialog_3.jpg,2,Skipped - No tranformation required
microsoft-r\r-reference\revoscaler\rxcrosstabs.md,1,Successful
microsoft-r\python-reference\microsoftml\rx-oneclass-svm.md,1,Successful
microsoft-r\r-reference\revoscaler\rxformula.md,1,Successful
microsoft-r\deployr\media\deployr-data-scientist-getting-started\openfile.png,2,Skipped - No tranformation required
image-sources\o16n-image-source-modern-policy-servicing.pptx,2,Skipped - No tranformation required
microsoft-r\python\python-samples.md,1,Successful
microsoft-r\install\media\machine-learning-server-install\install-topology-standalone.png,2,Skipped - No tranformation required
microsoft-r\r-reference\mrsdeploy\updateservice.md,1,Successful
microsoft-r\resources-deprecated-features.md,1,Successful
microsoft-r\deployr\deployr-admin-managing-access-with-ip-filters.md,1,Successful
microsoft-r\deployr\media\deployr-admin-console-database\db-tab.png,2,Skipped - No tranformation required
microsoft-r\r\sample-solutions.md,1,Successful
